,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081854431.0,a,0.375,31.87,-13.0422919509,1129.439941,-0.149413771408,-12.8928781795,underperform
2,2004-12-13 21:37:34,1103002654.0,a,0.323,23.84,-34.9522510232,1198.680054,5.97190850755,-40.9241595307,underperform
3,2006-01-09 02:35:16,1136802916.0,a,0.0,34.65,-5.45702592087,1290.150024,14.0585094814,-19.5155354023,underperform
4,2006-06-21 11:01:16,1150912876.0,a,0.368,32.18,-12.1964529332,1252.199951,10.7034510149,-22.8999039481,underperform
5,2007-02-20 17:46:56,1172022416.0,a,0.411,32.48,-11.377899045,1459.680054,29.0461792674,-40.4240783125,underperform
6,2007-04-12 05:07:51,1176379671.0,a,0.411,34.62,-5.53888130969,1447.800049,27.9959016736,-33.5347829833,underperform
7,2008-01-23 19:28:50,1201145330.0,a,0.645,32.16,-12.2510231924,1338.599976,18.3418325111,-30.5928557035,underperform
8,2008-02-14 04:44:34,1202993074.0,a,0.645,32.68,-10.8321964529,1348.859985,19.248890847,-30.0810872999,underperform
9,2011-08-02 06:45:37,1312292737.0,a,54.36,40.79,11.2960436562,1254.050049,10.867012939,0.42903071723,outperform
10,2011-11-08 05:04:16,1320757456.0,a,51.62,37.74,2.97407912688,1275.920044,12.8004772537,-9.82639812684,underperform
11,2013-05-14 00:28:58,1368516538.0,a,44.12,43.04,17.4351978172,1650.339966,45.9018820741,-28.4666842569,underperform
12,2013-09-06 06:09:52,1378472992.0,a,56.39,47.68,30.0954979536,1655.170044,46.3288955897,-16.2333976361,underperform
13,2004-04-13 04:20:10,1081855210.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0,underperform
14,2004-09-09 16:15:45,1094771745.0,aa,0.561,32.89,-3.99883245768,1118.380005,-0.979240736803,-3.01959172087,underperform
15,2004-11-24 10:37:20,1101321440.0,aa,0.53,33.58,-1.9848219498,1181.76001,4.63239054161,-6.6172124914,underperform
16,2005-01-13 07:18:32,1105629512.0,aa,0.457,29.43,-14.0980735552,1177.449951,4.25078025464,-18.3488538098,underperform
17,2005-02-07 03:48:37,1107776917.0,aa,0.457,29.37,-14.2732049037,1201.719971,6.39963466636,-20.67283957,underperform
18,2006-06-20 04:32:21,1150803141.0,aa,0.526,29.1,-15.061295972,1240.119995,9.79955197104,-24.860847943,underperform
19,2007-01-25 19:09:37,1169780977.0,aa,0.494,31.46,-8.17279626386,1423.900024,26.0713360942,-34.244132358,underperform
20,2007-02-23 09:03:42,1172250222.0,aa,0.494,34.75,1.43023934618,1451.189941,28.4875705489,-27.0573312027,underperform
21,2007-05-16 21:12:47,1179375167.0,aa,0.494,39.04,13.9521307647,1514.140015,34.0611359697,-20.109005205,underperform
22,2007-06-22 06:39:12,1182519552.0,aa,0.503,40.34,17.7466433158,1502.560059,33.035852944,-15.2892096282,underperform
23,2007-10-11 20:57:59,1192161479.0,aa,0.47,38.08,11.1500291886,1554.410034,37.6266216178,-26.4765924292,underperform
24,2008-01-23 16:05:53,1201133153.0,aa,0.499,28.04,-18.155283129,1338.599976,18.5189160935,-36.6741992225,underperform
25,2008-10-28 00:52:22,1225180342.0,aa,0.672,9.04,-73.613543491,940.51001,-16.727753654,-56.885789837,underperform
26,2008-12-05 01:03:15,1228467795.0,aa,0.672,8.06,-76.4740221833,876.070007,-22.4332365806,-54.0407856027,underperform
27,2008-12-18 10:54:07,1229626447.0,aa,0.672,10.35,-69.7898423818,885.280029,-21.6177862263,-48.1720561555,underperform
28,2011-11-02 22:04:47,1320296687.0,aa,50.93,10.7,-68.7682428488,1237.900024,9.60299694236,-78.3712397912,underperform
29,2012-03-09 07:34:06,1331307246.0,aa,54.5,9.77,-71.4827787507,1370.869995,21.3760860791,-92.8588648298,underperform
30,2012-03-19 02:24:48,1332149088.0,aa,54.5,10.54,-69.2352597782,1409.75,24.8185006413,-94.0537604195,underperform
31,2012-11-27 11:38:14,1354045094.0,aa,56.51,8.31,-75.7443082312,1398.939941,23.8613838786,-99.6056921098,underperform
32,2013-01-22 17:52:37,1358905957.0,aa,53.49,9.16,-73.2632807939,1492.560059,32.150458366,-105.41373916,underperform
